id,label,s000,sa01,sa02,sa03,se01,se02,se03,si01,si02,si03,layersrc
36085,"Richmond County, NY","41067","10997","19224","10846","7651","15382","18034","3630","10866","26571","us_cty"
36061,"New York County, NY","39426","7748","21862","9816","3231","6634","29561","1728","4031","33667","us_cty"
36047,"Kings County, NY","23831","4479","13137","6215","3815","8962","11054","2218","4909","16704","us_cty"
36081,"Queens County, NY","7573","1383","4256","1934","1060","2467","4046","1321","1776","4476","us_cty"
36059,"Nassau County, NY","5899","1304","3145","1450","592","1423","3884","448","1155","4296","us_cty"
34023,"Middlesex County, NJ","3840","918","1911","1011","560","1011","2269","463","1337","2040","us_cty"
34017,"Hudson County, NJ","3186","576","1691","919","316","607","2263","240","871","2075","us_cty"
34039,"Union County, NJ","2914","654","1410","850","420","842","1652","536","1098","1280","us_cty"
36103,"Suffolk County, NY","2778","768","1354","656","454","844","1480","441","943","1394","us_cty"
36119,"Westchester County, NY","2122","535","1077","510","291","531","1300","321","609","1192","us_cty"
36005,"Bronx County, NY","2066","504","1103","459","271","599","1196","233","662","1171","us_cty"
34013,"Essex County, NJ","1908","342","1003","563","252","478","1178","234","638","1036","us_cty"
34025,"Monmouth County, NJ","1143","241","576","326","212","277","654","104","285","754","us_cty"
34003,"Bergen County, NJ","1006","183","547","276","120","197","689","143","293","570","us_cty"
34027,"Morris County, NJ","765","165","407","193","80","157","528","85","147","533","us_cty"
34035,"Somerset County, NJ","622","136","354","132","86","109","427","81","149","392","us_cty"
36087,"Rockland County, NY","610","193","282","135","124","176","310","84","214","312","us_cty"
36071,"Orange County, NY","467","152","231","84","101","147","219","51","220","196","us_cty"
36001,"Albany County, NY","330","68","190","72","51","70","209","33","54","243","us_cty"
34031,"Passaic County, NJ","326","71","167","88","39","73","214","72","114","140","us_cty"
34021,"Mercer County, NJ","323","48","188","87","40","64","219","24","113","186","us_cty"
34029,"Ocean County, NJ","233","51","139","43","45","69","119","26","63","144","us_cty"
36067,"Onondaga County, NY","208","55","104","49","27","28","153","13","46","149","us_cty"
36027,"Dutchess County, NY","203","61","88","54","40","54","109","16","68","119","us_cty"
34005,"Burlington County, NJ","164","35","84","45","21","42","101","18","50","96","us_cty"
